"Wk,Rk,School,Conf"
"7,16,Mississippi State (5-1),SEC (West)"
"7,17,Kansas State (5-1),Big 12"
"7,18,Syracuse (5-0),ACC (Atlantic)"
"7,19,Kansas (5-1),Big 12"
"7,20,Utah (4-2),Pac-12"
"7,21,Cincinnati (5-1),American"
"7,22,Kentucky (4-2),SEC (East)"
"7,22,Texas (4-2),Big 12"
"7,24,Illinois (5-1),Big Ten (West)"
"7,25,James Madison (5-0),Sun Belt (East)"
"6,1,Alabama (5-0),SEC (West)"
"6,2,Georgia (5-0),SEC (East)"
"6,3,Ohio State (5-0),Big Ten (East)"
"6,4,Michigan (5-0),Big Ten (East)"
"6,5,Clemson (5-0),ACC (Atlantic)"
"6,6,USC (5-0),Pac-12"
"6,7,Oklahoma State (4-0),Big 12"
"6,8,Tennessee (4-0),SEC (East)"
"6,9,Ole Miss (5-0),SEC (West)"
"6,10,Penn State (5-0),Big Ten (East)"
"6,11,Utah (4-1),Pac-12"
"6,12,Oregon (4-1),Pac-12"
"6,13,Kentucky (4-1),SEC (East)"
"6,14,North Carolina State (4-1),ACC (Atlantic)"
"6,15,Wake Forest (4-1),ACC (Atlantic)"
"6,16,BYU (4-1),Ind"
"6,17,Texas Christian (4-0),Big 12"
"6,18,UCLA (5-0),Pac-12"
"6,19,Kansas (5-0),Big 12"
"6,20,Kansas State (4-1),Big 12"
"6,21,Washington (4-1),Pac-12"
"6,22,Syracuse (5-0),ACC (Atlantic)"
"6,23,Mississippi State (4-1),SEC (West)"
"6,24,Cincinnati (4-1),American"
"6,25,LSU (4-1),SEC (West)"
"5,1,Georgia (4-0),SEC (East)"
"5,2,Alabama (4-0),SEC (West)"
"5,3,Ohio State (4-0),Big Ten (East)"
"5,4,Michigan (4-0),Big Ten (East)"
"5,5,Clemson (4-0),ACC (Atlantic)"
"5,6,USC (4-0),Pac-12"
"5,7,Kentucky (4-0),SEC (East)"
"5,8,Tennessee (4-0),SEC (East)"
"5,9,Oklahoma State (3-0),Big 12"
"5,10,North Carolina State (4-0),ACC (Atlantic)"
"5,11,Penn State (4-0),Big Ten (East)"
"5,12,Utah (3-1),Pac-12"
"5,13,Oregon (3-1),Pac-12"
"5,14,Ole Miss (4-0),SEC (West)"
"5,15,Washington (4-0),Pac-12"
"5,16,Baylor (3-1),Big 12"
"5,17,Texas A&M (3-1),SEC (West)"
"5,18,Oklahoma (3-1),Big 12"
"5,19,BYU (3-1),Ind"
"5,20,Arkansas (3-1),SEC (West)"
"5,21,Minnesota (4-0),Big Ten (West)"
"5,22,Wake Forest (3-1),ACC (Atlantic)"
"5,23,Florida State (4-0),ACC (Atlantic)"
"5,24,Pitt (3-1),ACC (Coastal)"
"5,25,Kansas State (3-1),Big 12"
"4,1,Georgia (3-0),SEC (East)"
"4,2,Alabama (3-0),SEC (West)"
"4,3,Ohio State (3-0),Big Ten (East)"
"4,4,Michigan (3-0),Big Ten (East)"
"4,5,Clemson (3-0),ACC (Atlantic)"
"4,6,Oklahoma (3-0),Big 12"
"4,7,USC (3-0),Pac-12"
"4,8,Kentucky (3-0),SEC (East)"
"4,9,Oklahoma State (3-0),Big 12"
"4,10,Arkansas (3-0),SEC (West)"
"4,11,Tennessee (3-0),SEC (East)"
"4,12,North Carolina State (3-0),ACC (Atlantic)"
"4,13,Utah (2-1),Pac-12"
"4,14,Penn State (3-0),Big Ten (East)"
"4,15,Oregon (2-1),Pac-12"
"4,16,Ole Miss (3-0),SEC (West)"
"4,17,Baylor (2-1),Big 12"
"4,18,Washington (3-0),Pac-12"
"4,19,BYU (2-1),Ind"
"4,20,Florida (2-1),SEC (East)"
"4,21,Wake Forest (3-0),ACC (Atlantic)"
"4,22,Texas (2-1),Big 12"
"4,23,Texas A&M (2-1),SEC (West)"
"4,24,Pitt (2-1),ACC (Coastal)"
"4,25,Miami (FL) (2-1),ACC (Coastal)"
"3,1,Georgia (2-0),SEC (East)"
"3,2,Alabama (2-0),SEC (West)"
"3,3,Ohio State (2-0),Big Ten (East)"
"3,4,Michigan (2-0),Big Ten (East)"
"3,5,Clemson (2-0),ACC (Atlantic)"
"3,6,Oklahoma (2-0),Big 12"
"3,7,USC (2-0),Pac-12"
"3,8,Oklahoma State (2-0),Big 12"
"3,9,Kentucky (2-0),SEC (East)"
"3,10,Arkansas (2-0),SEC (West)"
"3,11,Michigan State (2-0),Big Ten (East)"
"3,12,BYU (2-0),Ind"
"3,13,Miami (FL) (2-0),ACC (Coastal)"
"3,14,Utah (1-1),Pac-12"
"3,15,Tennessee (2-0),SEC (East)"
"3,16,North Carolina State (2-0),ACC (Atlantic)"
"3,17,Baylor (1-1),Big 12"
"3,18,Florida (1-1),SEC (East)"
"3,19,Wake Forest (2-0),ACC (Atlantic)"
"3,20,Ole Miss (2-0),SEC (West)"
"3,21,Texas (1-1),Big 12"
"3,22,Penn State (2-0),Big Ten (East)"
"3,23,Pitt (1-1),ACC (Coastal)"
"3,24,Texas A&M (1-1),SEC (West)"
"3,25,Oregon (1-1),Pac-12"
"2,1,Alabama (1-0),SEC (West)"
"2,2,Georgia (1-0),SEC (East)"
"2,3,Ohio State (1-0),Big Ten (East)"
"2,4,Michigan (1-0),Big Ten (East)"
"2,5,Clemson (1-0),ACC (Atlantic)"
"2,6,Texas A&M (1-0),SEC (West)"
"2,7,Oklahoma (1-0),Big 12"
"2,8,Notre Dame (0-1),Ind"
"2,9,Baylor (1-0),Big 12"
"2,10,USC (1-0),Pac-12"
"2,11,Oklahoma State (1-0),Big 12"
"2,12,Florida (1-0),SEC (East)"
"2,13,Utah (0-1),Pac-12"
"2,14,Michigan State (1-0),Big Ten (East)"
"2,15,Miami (FL) (1-0),ACC (Coastal)"
"2,16,Arkansas (1-0),SEC (West)"
"2,17,Pitt (1-0),ACC (Coastal)"
"2,18,North Carolina State (1-0),ACC (Atlantic)"
"2,19,Wisconsin (1-0),Big Ten (West)"
"2,20,Kentucky (1-0),SEC (East)"
"2,21,BYU (1-0),Ind"
"2,22,Ole Miss (1-0),SEC (West)"
"2,23,Wake Forest (1-0),ACC (Atlantic)"
"2,24,Tennessee (1-0),SEC (East)"
"2,25,Houston (1-0),American"
"1,1,Alabama,SEC (West)"
"1,2,Ohio State,Big Ten (East)"
"1,3,Georgia,SEC (East)"
"1,4,Clemson,ACC (Atlantic)"
"1,5,Notre Dame,Ind"
"1,6,Texas A&M,SEC (West)"
"1,7,Utah,Pac-12"
"1,8,Michigan,Big Ten (East)"
"1,9,Oklahoma,Big 12"
"1,10,Baylor,Big 12"
"1,11,Oregon,Pac-12"
"1,12,Oklahoma State,Big 12"
"1,13,North Carolina State,ACC (Atlantic)"
"1,14,USC,Pac-12"
"1,15,Michigan State,Big Ten (East)"
"1,16,Miami (FL),ACC (Coastal)"
"1,17,Pitt,ACC (Coastal)"
"1,18,Wisconsin,Big Ten (West)"
"1,19,Arkansas,SEC (West)"
"1,20,Kentucky,SEC (East)"
"1,21,Ole Miss,SEC (West)"
"1,22,Wake Forest,ACC (Atlantic)"
"1,23,Cincinnati,American"
"1,24,Houston,American"
"1,25,BYU,Ind"
