What is the total amount of revenues reported?,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"The total amount of revenues reported was 11,944,485,100. This is based on 1,844 institutions.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reported total amount of revenues by team type and athletic sanctioning body,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,NCAA Division I-FBS ,NCAA Division I-FCS ,NCAA Division I without football ,NCAA Division II with football ,NCAA Division II without football ,NCAA Division III with football ,NCAA Division III without football ,Other ,NAIA Division I ,NAIA Division II ,NAIA Division III ,NJCAA Division I ,NJCAA Division II ,NJCAA Division III ,NCCAA Division I ,NCCAA Division II ,CCCAA ,Independent ,NWAC ,USCAA ,Total
Men's Teams ,"4,663,097,818","920,886,124","624,580,645","407,389,659","238,466,556","244,290,242","81,789,011","31,794,785","315,283,464","253,353,003",N/A,"153,658,497","38,333,913","10,380,483","2,219,584","3,363,961","17,542,288","45,985","8,596,367","4,560,465","8,019,632,850"
Women's Teams ,"1,310,125,690","626,357,559","551,601,378","295,492,036","255,415,466","169,452,173","76,377,952","21,964,196","222,808,510","166,730,071",N/A,"123,156,106","30,795,839","6,353,981","1,354,509","2,503,079","12,187,379","34,956","8,477,911","3,849,962","3,885,038,753"
Coed Teams ,"5,223,312","1,768,517","295,185","2,517,270","2,899,265","1,667,318","1,965,052","500,506","10,127,357","6,969,067",N/A,"4,272,285","828,615","391,640","62,663",N/A,"85,589",N/A,"74,949","164,907","39,813,497"
Total,"5,978,446,820","1,549,012,200","1,176,477,208","705,398,965","496,781,287","415,409,733","160,132,015","54,259,487","548,219,331","427,052,141",N/A,"281,086,888","69,958,367","17,126,104","3,636,756","5,867,040","29,815,256","80,941","17,149,227","8,575,334","11,944,485,100"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, Office of Postsecondary Education, Equity in Athletics Disclosure Act (EADA) survey.",,,,,,,,,,,,,,,,,,,,,
