,Wk,TxG,TG
324,30.0,,
325,30.0,,
326,30.0,,
327,30.0,,
328,30.0,,
329,,,
330,31.0,,
331,31.0,,
332,31.0,,
333,31.0,,
334,31.0,,
335,31.0,,
336,31.0,,
337,31.0,,
338,31.0,,
339,31.0,,
340,,,
341,32.0,,
342,32.0,,
343,32.0,,
344,32.0,,
345,32.0,,
346,32.0,,
347,32.0,,
348,32.0,,
349,32.0,,
350,32.0,,
351,,,
352,33.0,,
353,33.0,,
354,33.0,,
355,33.0,,
356,33.0,,
357,33.0,,
358,33.0,,
359,33.0,,
360,33.0,,
361,33.0,,
362,,,
363,34.0,,
364,34.0,,
365,34.0,,
366,34.0,,
367,34.0,,
368,34.0,,
369,34.0,,
370,34.0,,
371,34.0,,
372,34.0,,
373,,,
374,35.0,,
375,35.0,,
376,35.0,,
377,35.0,,
378,35.0,,
379,35.0,,
380,35.0,,
381,35.0,,
382,35.0,,
383,35.0,,
384,,,
385,36.0,,
386,36.0,,
387,36.0,,
388,36.0,,
389,36.0,,
390,36.0,,
391,36.0,,
392,36.0,,
393,36.0,,
394,36.0,,
395,,,
396,37.0,,
397,37.0,,
398,37.0,,
399,37.0,,
400,37.0,,
401,37.0,,
402,37.0,,
403,37.0,,
404,37.0,,
405,37.0,,
406,,,
407,38.0,,
408,38.0,,
409,38.0,,
410,38.0,,
411,38.0,,
412,38.0,,
413,38.0,,
414,38.0,,
415,38.0,,
416,38.0,,
