Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Excess Transfers Back,Other Expenses,Medical,Competition Guarantees,Recruiting,Game Expenses and Travel,Facilities and Equipment,Coaches Compensation,Support and Admin Compensation w/Severance,Athletic Student Aid,Total Revenues,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees ,"NCAA/Conference Distributions, Media Rights, and Post-Season Football",Ticket Sales,Institutional/Government Support,Student Fees,Total Institutional/Government Support and Student Fees,Total Football Spending,Total Football Coaching Salaries,Athletics Related Debt,"Annual Debt Service, Leases and Rental Fees on Athletic Facilities"
Appalachian State University,197869,2005,Football Championship Subdivision,,"$11,116,671 ",$0 ,"$961,765 ","$259,260 ","$80,129 ","$367,394 ","$1,026,256 ","$1,087,761 ","$2,585,754 ","$1,635,122 ","$3,113,230 ","$10,592,605 ","$566,988 ","$485,085 ","$1,173,318 ","$482,300 ","$506,416 ","$635,870 ","$691,960 ","$6,050,667 ","$6,742,628 ","$2,667,248 ","$732,603 ","$21,915,790 ","$949,194 "
Appalachian State University,197869,2006,Football Championship Subdivision,,"$12,154,286 ",$0 ,"$736,273 ","$274,709 ","$49,062 ","$319,453 ","$1,078,634 ","$1,793,690 ","$2,866,521 ","$1,806,521 ","$3,229,424 ","$12,245,317 ","$660,404 ","$722,465 ","$1,375,680 ","$1,297,677 ","$592,673 ","$874,671 ","$593,029 ","$6,128,717 ","$6,721,746 ","$2,894,267 ","$784,696 ","$21,035,991 ","$919,531 "
Appalachian State University,197869,2007,Football Championship Subdivision,,"$13,739,365 ",$0 ,"$1,771,963 ","$316,736 ","$50,968 ","$308,790 ","$1,300,020 ","$1,642,702 ","$2,993,011 ","$2,156,965 ","$3,198,210 ","$13,703,378 ","$692,190 ","$836,207 ","$1,266,752 ","$494,978 ","$812,093 ","$1,301,075 ","$1,048,532 ","$7,251,550 ","$8,300,083 ","$2,875,075 ","$919,339 ","$19,982,073 ","$1,414,967 "
Appalachian State University,197869,2008,Football Championship Subdivision,,"$17,226,076 ",$0 ,"$2,164,990 ","$542,073 ","$309,840 ","$491,059 ","$1,570,810 ","$2,393,489 ","$3,732,262 ","$2,525,469 ","$3,496,084 ","$16,623,303 ","$1,057,258 ","$1,086,470 ","$1,429,736 ","$708,566 ","$942,898 ","$1,582,277 ","$1,965,504 ","$7,850,594 ","$9,816,098 ","$4,652,128 ","$1,200,590 ","$44,697,575 ","$2,571,540 "
Appalachian State University,197869,2009,Football Championship Subdivision,,"$19,937,615 ",$0 ,"$4,210,361 ","$489,104 ","$196,436 ","$373,695 ","$1,914,308 ","$2,073,836 ","$4,175,197 ","$2,725,512 ","$3,779,165 ","$19,244,448 ","$926,683 ","$899,108 ","$957,339 ","$1,148,891 ","$910,128 ","$3,113,757 ","$1,880,591 ","$9,407,950 ","$11,288,541 ","$4,515,303 ","$1,238,992 ","$44,578,510 ","$4,476,821 "
Appalachian State University,197869,2010,Football Championship Subdivision,,"$20,112,923 ",$0 ,"$3,800,318 ","$364,690 ","$266,000 ","$381,429 ","$1,493,875 ","$2,056,006 ","$4,012,586 ","$3,132,975 ","$4,605,044 ","$19,715,760 ","$700,321 ","$895,355 ","$2,066,572 ","$666,899 ","$1,141,410 ","$3,390,408 ","$801,939 ","$10,052,854 ","$10,854,793 ","$4,812,906 ","$1,213,405 ","$62,868,178 ","$1,468,086 "
Appalachian State University,197869,2011,Football Championship Subdivision,,"$18,616,662 ",$0 ,"$1,817,452 ","$356,438 ","$247,002 ","$397,088 ","$2,056,236 ","$2,275,650 ","$4,006,561 ","$3,032,150 ","$4,428,085 ","$21,380,623 ","$1,711,147 ","$558,723 ","$3,475,999 ","$965,954 ","$1,143,910 ","$2,819,585 ","$559,679 ","$10,145,627 ","$10,705,306 ","$4,813,528 ","$1,185,946 ","$59,521,105 ","$4,238,609 "
Appalachian State University,197869,2012,Football Championship Subdivision,,"$20,345,214 ",$0 ,"$2,032,067 ","$390,710 ","$249,930 ","$432,574 ","$2,307,267 ","$2,773,592 ","$3,952,246 ","$3,528,621 ","$4,678,207 ","$22,004,629 ","$1,524,510 ","$876,917 ","$2,615,574 ","$882,152 ","$1,212,113 ","$2,802,829 ","$699,363 ","$11,391,170 ","$12,090,533 ","$4,874,558 ","$1,237,718 ","$48,931,681 ","$3,848,590 "
Appalachian State University,197869,2013,Football Championship Subdivision,,"$24,886,928 ",$0 ,"$1,997,516 ","$419,641 ","$268,847 ","$588,148 ","$2,286,307 ","$5,820,690 ","$4,850,590 ","$3,742,252 ","$4,912,936 ","$23,002,644 ","$787,017 ","$1,125,802 ","$4,225,987 ","$819,268 ","$1,288,323 ","$2,715,588 ","$570,409 ","$11,470,250 ","$12,040,659 ","$5,849,362 ","$1,744,082 ","$85,585,789 ","$4,165,786 "
Appalachian State University,197869,2014,Football Championship Subdivision,,"$22,114,141 ",$0 ,"$2,218,378 ","$467,663 ","$486,633 ","$577,169 ","$2,300,943 ","$2,358,092 ","$4,590,523 ","$3,707,533 ","$5,407,208 ","$22,222,274 ","$740,381 ","$1,151,962 ","$4,029,795 ","$924,006 ","$1,371,149 ","$2,233,852 ","$1,171,061 ","$10,600,068 ","$11,771,129 ","$5,747,839 ","$1,464,547 ","$81,838,963 ","$4,099,286 "
Appalachian State University,197869,2015,Football Bowl Subdivision,Sun Belt Conference,"$35,039,272 ",$0 ,"$4,382,364 ","$142,472 ","$417,669 ","$427,303 ","$4,053,367 ","$10,801,766 ","$5,038,406 ","$3,941,081 ","$5,834,846 ","$33,948,866 ","$645,340 ","$1,170,190 ","$4,335,575 ","$1,666,500 ","$2,059,630 ","$1,834,163 ","$9,657,270 ","$12,580,198 ","$22,237,468 ","$6,795,344 ","$1,850,770 ","$52,190,125 ","$4,182,946 "
Appalachian State University,197869,2016,Football Bowl Subdivision,Sun Belt Conference,"$35,590,035 ",$0 ,"$2,397,778 ","$146,729 ","$243,056 ","$560,804 ","$4,455,034 ","$11,725,879 ","$5,383,287 ","$4,550,661 ","$6,126,807 ","$35,803,275 ","$1,060,706 ","$1,153,760 ","$4,359,393 ","$1,342,052 ","$3,190,456 ","$1,776,474 ","$10,237,933 ","$12,682,501 ","$22,920,434 ","$8,430,131 ","$2,165,206 ","$49,867,271 ","$4,126,311 "
Appalachian State University,197869,2017,Football Bowl Subdivision,Sun Belt Conference,"$38,763,596 ",$0 ,"$1,876,442 ","$515,436 ","$24,647 ","$651,740 ","$4,874,603 ","$12,592,169 ","$6,545,471 ","$4,754,857 ","$6,928,230 ","$38,755,918 ","$991,297 ","$1,252,910 ","$3,226,189 ","$2,093,466 ","$4,942,379 ","$2,750,399 ","$10,445,194 ","$13,054,085 ","$23,499,279 ","$9,402,034 ","$2,678,690 ","$46,763,844 ","$3,391,857 "
Appalachian State University,197869,2018,Football Bowl Subdivision,Sun Belt Conference,"$39,769,221 ",$0 ,"$2,069,188 ","$361,310 ","$512,812 ","$543,076 ","$4,210,489 ","$13,506,897 ","$6,710,031 ","$4,803,622 ","$7,051,796 ","$39,862,980 ","$913,856 ","$1,380,618 ","$4,966,874 ","$1,776,472 ","$3,080,070 ","$3,397,136 ","$10,839,593 ","$13,508,360 ","$24,347,953 ","$9,989,603 ","$2,938,511 ","$42,892,230 ","$3,525,933 "
Appalachian State University,197869,2019,Football Bowl Subdivision,Sun Belt Conference,"$40,035,885 ",$0 ,"$2,028,616 ","$435,466 ","$602,047 ","$513,123 ","$4,329,378 ","$13,269,305 ","$6,371,855 ","$5,122,829 ","$7,363,266 ","$40,272,310 ","$778,688 ","$2,873,988 ","$4,304,970 ","$1,666,832 ","$3,878,968 ","$3,422,642 ","$9,886,233 ","$13,459,989 ","$23,346,222 ","$10,337,280 ","$2,598,927 ","$67,866,763 ","$3,524,135 "
Appalachian State University,197869,2020,Football Bowl Subdivision,Sun Belt Conference,"$36,643,517 ",$0 ,"$2,070,546 ","$463,795 ","$275,701 ","$393,870 ","$4,133,686 ","$10,243,869 ","$6,093,975 ","$5,576,827 ","$7,391,250 ","$36,588,196 ","$1,489,554 ","$1,790,277 ","$4,090,272 ","$1,819,467 ","$2,428,120 ","$4,202,314 ","$6,870,983 ","$13,897,208 ","$20,768,191 ","$10,195,722 ","$2,005,574 ","$72,087,797 ","$3,541,763 "
Appalachian State University,197869,2021,Football Bowl Subdivision,Sun Belt Conference,"$33,425,114 ",$0 ,"$1,458,729 ","$281,057 ","$218,874 ","$132,144 ","$2,484,012 ","$10,607,539 ","$6,186,297 ","$4,828,172 ","$7,228,290 ","$33,202,111 ","$240,836 ","$1,644,137 ","$8,275,129 ","$183,000 ","$2,951,261 ","$926,625 ","$5,385,166 ","$13,595,957 ","$18,981,123 ","$9,785,359 ","$2,931,081 ","$76,348,301 ","$6,138,151 "
Arizona State University,104151,2005,Football Bowl Subdivision,Pacific-12 Conference,"$55,152,335 ",$0 ,"$8,380,685 ","$1,434,222 ","$2,754,018 ","$1,020,607 ","$5,886,721 ","$7,516,898 ","$9,916,330 ","$8,376,766 ","$9,866,088 ","$57,351,695 ","$3,202,417 ","$4,721,745 ","$11,905,954 ","$2,033,223 ","$11,380,401 ","$9,961,576 ","$14,146,378 ",$0 ,"$14,146,378 ","$14,686,476 ","$3,369,357 ","$48,563,004 ","$2,579,353 "
Arizona State University,104151,2006,Football Bowl Subdivision,Pacific-12 Conference,"$65,725,849 ",$0 ,"$11,543,131 ","$1,420,374 ","$3,379,474 ","$1,296,864 ","$6,192,767 ","$10,364,413 ","$10,597,650 ","$10,366,331 ","$10,564,845 ","$67,568,626 ","$4,597,719 ","$5,188,570 ","$15,849,091 ","$1,564,958 ","$11,073,164 ","$13,783,620 ","$15,511,504 ",$0 ,"$15,511,504 ","$19,666,556 ","$3,657,929 ","$47,851,839 ","$4,166,874 "
Arizona State University,104151,2007,Football Bowl Subdivision,Pacific-12 Conference,"$71,658,942 ",$0 ,"$11,541,720 ","$1,373,394 ","$2,838,240 ","$981,812 ","$8,172,478 ","$10,079,991 ","$11,865,507 ","$12,969,140 ","$11,836,659 ","$71,532,205 ","$3,699,811 ","$5,337,877 ","$15,451,523 ","$2,368,994 ","$11,134,888 ","$11,515,384 ","$22,023,729 ",$0 ,"$22,023,729 ","$24,441,588 ","$4,351,055 ",,
Arizona State University,104151,2008,Football Bowl Subdivision,Pacific-12 Conference,"$68,334,497 ",$0 ,"$9,877,659 ","$1,616,356 ","$4,094,511 ","$954,168 ","$8,295,472 ","$8,992,294 ","$12,854,802 ","$9,931,322 ","$11,717,913 ","$69,010,581 ","$3,973,234 ","$5,125,539 ","$15,287,424 ","$1,121,143 ","$12,013,626 ","$16,791,262 ","$14,698,353 ",$0 ,"$14,698,353 ","$23,303,139 ","$4,909,323 ","$55,321,577 ","$2,768,821 "
Arizona State University,104151,2009,Football Bowl Subdivision,Pacific-12 Conference,"$66,982,019 ",$0 ,"$10,463,036 ","$1,612,823 ","$3,110,136 ","$854,391 ","$7,460,743 ","$10,078,042 ","$12,798,075 ","$8,862,695 ","$11,742,077 ","$65,541,992 ","$4,038,985 ","$5,843,529 ","$13,879,928 ","$2,125,165 ","$12,075,687 ","$16,947,743 ","$10,630,954 ",$0 ,"$10,630,954 ","$21,823,187 ","$4,580,935 ","$44,790,121 ","$2,623,346 "
Arizona State University,104151,2010,Football Bowl Subdivision,Pacific-12 Conference,"$71,957,212 ",$0 ,"$9,114,291 ","$1,443,270 ","$4,434,820 ","$990,117 ","$6,982,070 ","$12,801,659 ","$13,224,327 ","$10,681,490 ","$12,285,167 ","$70,217,007 ","$3,764,684 ","$12,982,947 ","$12,545,013 ","$1,583,876 ","$11,518,824 ","$14,960,654 ","$12,861,009 ",$0 ,"$12,861,009 ","$22,473,228 ","$4,678,553 ","$44,901,225 ","$6,025,684 "
Arizona State University,104151,2011,Football Bowl Subdivision,Pacific-12 Conference,"$68,761,734 ",$0 ,"$8,426,371 ","$1,272,376 ","$2,473,011 ","$871,086 ","$7,229,157 ","$13,643,888 ","$12,889,269 ","$9,474,026 ","$12,482,550 ","$66,609,324 ","$3,724,963 ","$13,030,295 ","$14,434,987 ","$2,080,405 ","$10,734,092 ","$9,762,006 ","$12,842,575 ",$0 ,"$12,842,575 ","$20,007,221 ","$4,345,271 ","$39,745,787 ","$5,832,851 "
Arizona State University,104151,2012,Football Bowl Subdivision,Pacific-12 Conference,"$77,407,774 ",$0 ,"$8,821,565 ","$1,323,482 ","$3,000,463 ","$1,059,333 ","$8,551,721 ","$13,350,653 ","$13,829,346 ","$14,290,384 ","$13,180,827 ","$70,642,320 ","$4,883,022 ","$13,179,852 ","$13,295,977 ","$1,159,739 ","$15,224,138 ","$10,691,645 ","$12,207,948 ",$0 ,"$12,207,948 ","$28,964,300 ","$5,348,718 ","$35,092,489 ","$5,716,958 "
Arizona State University,104151,2013,Football Bowl Subdivision,Pacific-12 Conference,"$76,304,538 ",$0 ,"$10,367,910 ","$1,710,401 ","$1,766,438 ","$1,363,348 ","$9,030,021 ","$12,000,663 ","$15,829,209 ","$10,120,144 ","$14,116,404 ","$76,390,343 ","$4,251,765 ","$10,502,202 ","$14,815,987 ","$348,953 ","$23,544,779 ","$11,154,845 ","$11,771,813 ",$0 ,"$11,771,813 ","$27,430,011 ","$6,880,828 ","$37,576,388 ","$4,350,277 "
Arizona State University,104151,2014,Football Bowl Subdivision,Pacific-12 Conference,"$85,334,045 ",$0 ,"$12,219,550 ","$1,826,613 ","$1,656,254 ","$1,269,365 ","$9,811,791 ","$12,846,448 ","$19,129,971 ","$12,035,449 ","$14,538,605 ","$85,535,684 ","$4,309,056 ","$11,615,539 ","$15,451,933 ","$1,602,451 ","$26,278,418 ","$14,748,421 ","$11,529,866 ",$0 ,"$11,529,866 ","$31,900,038 ","$8,685,600 ","$34,258,104 ","$4,281,977 "
Arizona State University,104151,2015,Football Bowl Subdivision,Pacific-12 Conference,"$95,888,509 ",$0 ,"$12,167,538 ","$2,110,818 ","$1,774,560 ","$1,342,478 ","$10,718,188 ","$17,051,635 ","$20,321,942 ","$17,431,689 ","$12,969,660 ","$96,536,188 ","$4,196,749 ","$11,751,635 ","$16,886,763 ",$0 ,"$28,921,984 ","$12,623,839 ","$10,771,520 ","$11,383,699 ","$22,155,218 ","$31,519,393 ","$9,521,423 ","$94,975,604 ","$5,739,122 "
Arizona State University,104151,2016,Football Bowl Subdivision,Pacific-12 Conference,"$100,579,680 ",$0 ,"$11,217,712 ","$1,698,513 ","$1,325,742 ","$1,357,024 ","$10,226,922 ","$22,273,447 ","$19,269,399 ","$17,502,325 ","$15,708,596 ","$106,874,990 ","$4,596,277 ","$15,418,032 ","$18,810,077 ","$2,646,724 ","$32,124,935 ","$13,434,355 ","$7,903,416 ","$11,941,174 ","$19,844,590 ","$30,578,084 ","$8,483,010 ","$169,756,507 ","$10,980,731 "
Arizona State University,104151,2017,Football Bowl Subdivision,Pacific-12 Conference,"$109,247,564 ",$0 ,"$9,446,766 ","$1,958,271 ","$1,648,555 ","$1,638,770 ","$9,426,334 ","$28,395,173 ","$21,152,171 ","$19,247,315 ","$16,334,208 ","$112,292,516 ","$4,247,483 ","$18,363,419 ","$21,890,874 ","$628,454 ","$35,214,643 ","$11,091,616 ","$8,911,036 ","$11,944,991 ","$20,856,027 ","$35,070,533 ","$9,210,903 ","$234,107,777 ","$13,408,130 "
Arizona State University,104151,2018,Football Bowl Subdivision,Pacific-12 Conference,"$136,811,185 ",$0 ,"$10,304,778 ","$1,759,419 ","$1,903,090 ","$1,665,792 ","$12,108,959 ","$34,938,515 ","$22,486,828 ","$34,692,228 ","$16,951,576 ","$122,625,701 ","$4,233,991 ","$19,500,405 ","$26,971,968 ","$546,565 ","$35,747,650 ","$13,382,942 ","$10,528,771 ","$11,713,407 ","$22,242,178 ","$56,994,850 ","$9,265,876 ","$226,142,106 ","$13,541,657 "
Arizona State University,104151,2019,Football Bowl Subdivision,Pacific-12 Conference,"$125,496,199 ",$0 ,"$10,403,899 ","$1,628,383 ","$1,532,392 ","$1,713,992 ","$12,159,765 ","$37,470,641 ","$21,114,042 ","$21,903,967 ","$17,569,117 ","$128,987,984 ","$4,708,578 ","$20,094,602 ","$32,420,747 ","$478,638 ","$37,126,380 ","$13,643,571 ","$8,901,957 ","$11,613,511 ","$20,515,468 ","$33,893,288 ","$7,496,527 ","$219,579,493 ","$13,087,583 "
Arizona State University,104151,2020,Football Bowl Subdivision,Pacific-12 Conference,"$123,452,313 ",$0 ,"$9,370,441 ","$1,942,282 ","$2,907,505 ","$1,405,147 ","$11,697,799 ","$31,916,596 ","$22,592,235 ","$23,997,594 ","$17,622,714 ","$112,016,216 ","$5,103,626 ","$21,203,520 ","$15,801,914 ","$528,201 ","$37,044,315 ","$14,410,553 ","$6,013,857 ","$11,910,229 ","$17,924,086 ","$42,613,898 ","$8,707,822 ","$215,055,882 ","$12,169,043 "
Arizona State University,104151,2021,Football Bowl Subdivision,Pacific-12 Conference,"$103,772,499 ",$0 ,"$4,531,886 ","$2,356,712 ","$207,992 ","$380,468 ","$6,255,752 ","$28,390,717 ","$22,357,899 ","$21,940,189 ","$17,350,884 ","$117,675,310 ","$935,907 ","$17,802,019 ","$7,940,129 ",$0 ,"$21,484,281 ","$342,176 ","$57,869,086 ","$11,301,712 ","$69,170,798 ","$26,093,543 ","$8,899,443 ","$245,181,000 ","$11,620,000 "
Arkansas State University,106458,2005,Football Bowl Subdivision,Sun Belt Conference,"$13,076,374 ",$0 ,"$375,583 ","$191,269 ","$674,894 ","$260,269 ","$1,805,939 ","$1,688,026 ","$2,739,234 ","$1,949,033 ","$3,392,127 ","$10,009,584 ","$624,121 ","$623,667 ","$781,234 ","$1,895,137 ","$691,455 ","$1,114,313 ","$1,040,636 ","$3,239,022 ","$4,279,658 ","$4,112,039 ","$1,106,430 ",$0 ,$0 
Arkansas State University,106458,2006,Football Bowl Subdivision,Sun Belt Conference,"$14,001,971 ",$0 ,"$880,076 ","$276,152 ","$1,104,590 ","$281,820 ","$1,870,799 ","$966,662 ","$3,333,541 ","$1,890,734 ","$3,397,598 ","$10,513,506 ","$983,871 ","$527,272 ","$675,353 ","$879,506 ","$941,504 ","$1,967,840 ","$1,380,824 ","$3,157,336 ","$4,538,160 ","$5,003,786 ","$1,495,038 ",,
Arkansas State University,106458,2007,Football Bowl Subdivision,Sun Belt Conference,"$13,582,241 ",$0 ,"$835,393 ","$241,437 ","$757,986 ","$288,730 ","$2,055,664 ","$948,256 ","$3,287,241 ","$1,653,388 ","$3,514,147 ","$10,229,886 ","$1,028,432 ","$529,176 ","$704,570 ","$1,693,693 ","$688,486 ","$1,232,507 ","$1,381,581 ","$2,971,440 ","$4,353,021 ","$4,829,779 ","$1,379,602 ",$0 ,$0 
Arkansas State University,106458,2008,Football Bowl Subdivision,Sun Belt Conference,"$13,073,991 ",$0 ,"$895,360 ","$194,898 ","$725,557 ","$291,844 ","$1,774,353 ","$1,047,680 ","$3,087,207 ","$1,440,565 ","$3,616,527 ","$10,562,864 ","$1,085,531 ","$476,585 ","$501,051 ","$2,376,340 ","$728,278 ","$1,205,204 ","$1,357,017 ","$2,832,858 ","$4,189,875 ","$4,567,595 ",,$0 ,$0 
Arkansas State University,106458,2009,Football Bowl Subdivision,Sun Belt Conference,"$13,958,588 ",$0 ,"$843,850 ","$206,949 ","$670,677 ","$311,774 ","$2,138,293 ","$2,170,872 ","$2,594,314 ","$1,221,453 ","$3,800,405 ","$12,598,975 ","$1,008,023 ","$324,468 ","$776,181 ","$2,375,789 ","$807,101 ","$1,256,772 ","$2,533,621 ","$3,517,021 ","$6,050,642 ","$4,774,701 ","$1,130,325 ",$0 ,$0 
Arkansas State University,106458,2010,Football Bowl Subdivision,Sun Belt Conference,"$16,568,402 ",$0 ,"$797,355 ","$203,663 ","$545,428 ","$306,347 ","$2,104,203 ","$1,642,055 ","$4,149,133 ","$1,653,350 ","$5,166,868 ","$11,779,104 ","$1,046,115 ","$413,389 ","$729,146 ","$2,733,864 ","$832,816 ","$1,105,935 ","$1,397,650 ","$3,520,189 ","$4,917,839 ","$5,198,735 ","$1,380,599 ",$0 ,$0 
Arkansas State University,106458,2011,Football Bowl Subdivision,Sun Belt Conference,"$16,111,423 ",$0 ,"$918,149 ","$141,118 ","$542,084 ","$376,294 ","$2,264,875 ","$1,140,749 ","$3,333,340 ","$1,903,014 ","$5,491,801 ","$16,111,423 ","$1,242,508 ","$245,603 ","$77,706 ","$3,363,647 ","$812,643 ","$1,008,845 ","$5,867,137 ","$3,493,335 ","$9,360,471 ","$5,765,036 ","$1,585,477 ",$0 ,$0 
Arkansas State University,106458,2012,Football Bowl Subdivision,Sun Belt Conference,"$18,065,902 ",$0 ,"$809,263 ","$173,900 ","$637,789 ","$356,281 ","$2,515,007 ","$2,006,718 ","$3,787,036 ","$2,157,203 ","$5,622,706 ","$18,065,902 ","$1,455,024 ","$569,793 ","$99,418 ","$2,649,817 ","$1,203,594 ","$1,530,693 ","$6,400,941 ","$4,156,622 ","$10,557,564 ","$6,254,612 ","$1,677,025 ",$0 ,$0 
Arkansas State University,106458,2013,Football Bowl Subdivision,Sun Belt Conference,"$18,937,706 ",$0 ,"$892,812 ","$104,773 ","$824,096 ","$461,212 ","$2,963,341 ","$2,299,172 ","$4,335,482 ","$1,987,812 ","$5,069,005 ","$18,937,706 ","$1,916,868 ","$292,362 ","$469,211 ","$2,617,145 ","$1,170,662 ","$1,626,601 ","$5,531,769 ","$5,313,088 ","$10,844,857 ","$7,350,346 ","$1,870,391 ",$0 ,$0 
Arkansas State University,106458,2014,Football Bowl Subdivision,Sun Belt Conference,"$23,065,894 ",$0 ,"$2,924,115 ","$194,923 ","$674,039 ","$494,548 ","$3,139,929 ","$2,263,480 ","$4,306,674 ","$2,905,567 ","$6,162,620 ","$23,065,894 ","$2,591,276 ","$737,635 ","$1,786,123 ","$2,198,791 ","$1,905,072 ","$1,665,692 ","$6,882,824 ","$5,298,480 ","$12,181,304 ","$8,687,570 ","$2,102,028 ",$0 ,$0 
Arkansas State University,106458,2015,Football Bowl Subdivision,Sun Belt Conference,"$33,396,412 ",$0 ,"$12,377,479 ","$198,189 ","$706,598 ","$490,884 ","$3,187,377 ","$2,461,472 ","$4,644,116 ","$3,116,893 ","$6,213,405 ","$33,396,412 ","$3,272,096 ","$1,605,413 ","$7,181,882 ","$1,752,604 ","$2,033,577 ","$1,502,163 ","$10,826,501 ","$5,222,177 ","$16,048,677 ","$17,231,374 ","$2,397,339 ",$0 ,$0 
Arkansas State University,106458,2016,Football Bowl Subdivision,Sun Belt Conference,"$48,662,550 ",$0 ,"$24,002,014 ","$331,844 ","$569,585 ","$527,602 ","$3,859,413 ","$3,614,068 ","$4,822,878 ","$3,308,224 ","$7,626,923 ","$48,662,550 ","$22,773,968 ","$1,828,264 ","$2,506,888 ","$2,001,731 ","$2,881,457 ","$1,881,889 ","$9,112,242 ","$5,676,111 ","$14,788,354 ","$14,700,092 ","$2,591,295 ",$0 ,$0 
Arkansas State University,106458,2017,Football Bowl Subdivision,Sun Belt Conference,"$43,620,393 ",$0 ,"$16,098,974 ","$260,117 ","$656,713 ","$604,543 ","$3,636,530 ","$6,427,734 ","$4,996,525 ","$3,357,082 ","$7,582,174 ","$43,620,393 ","$8,149,031 ","$3,038,435 ","$10,605,855 ","$2,182,732 ","$4,022,327 ","$1,666,357 ","$8,571,444 ","$5,384,212 ","$13,955,656 ","$20,999,600 ","$2,694,241 ",$0 ,$0 
Arkansas State University,106458,2018,Football Bowl Subdivision,Sun Belt Conference,"$43,270,917 ",$0 ,"$17,250,212 ","$280,557 ","$348,011 ","$513,201 ","$3,647,903 ","$5,012,568 ","$5,156,936 ","$3,221,107 ","$7,840,424 ","$43,270,917 ","$9,764,548 ","$3,773,907 ","$10,296,007 ","$2,143,637 ","$2,391,581 ","$1,483,114 ","$8,411,921 ","$5,006,202 ","$13,418,123 ","$22,536,378 ","$2,758,940 ",$0 ,$0 
Arkansas State University,106458,2019,Football Bowl Subdivision,Sun Belt Conference,"$37,679,892 ",$0 ,"$9,828,240 ","$304,049 ","$639,774 ","$553,356 ","$4,490,482 ","$5,622,199 ","$5,104,564 ","$3,484,050 ","$7,653,178 ","$37,679,892 ","$4,092,793 ","$2,913,115 ","$9,448,849 ","$2,396,401 ","$2,839,891 ","$1,259,397 ","$9,960,758 ","$4,768,689 ","$14,729,447 ","$14,626,882 ","$2,692,158 ",,
Arkansas State University,106458,2020,Football Bowl Subdivision,Sun Belt Conference,"$37,987,224 ",$0 ,"$9,181,240 ","$279,134 ","$397,695 ","$418,749 ","$3,759,609 ","$7,251,305 ","$4,893,278 ","$3,578,662 ","$8,227,552 ","$37,987,224 ","$3,227,822 ","$3,778,680 ","$9,254,001 ","$2,512,751 ","$1,716,720 ","$1,143,210 ","$11,848,783 ","$4,505,258 ","$16,354,041 ","$13,015,481 ","$2,535,002 ",,
Arkansas State University,106458,2021,Football Bowl Subdivision,Sun Belt Conference,"$29,226,736 ",$0 ,"$6,670,536 ","$226,373 ","$128,100 ","$97,401 ","$2,877,006 ","$4,634,288 ","$4,672,682 ","$3,205,029 ","$6,715,321 ","$29,226,736 ","$2,474,772 ","$3,209,849 ","$6,953,745 ","$650,500 ","$2,485,318 ","$589,740 ","$7,200,247 ","$5,662,565 ","$12,862,812 ","$10,582,857 ","$2,353,047 ",$0 ,$0 
Auburn University,100858,2005,Football Bowl Subdivision,Southeastern Conference,"$85,074,216 ",$0 ,"$10,411,805 ","$702,578 ","$4,068,564 ","$2,021,275 ","$7,629,462 ","$25,359,690 ","$13,456,768 ","$12,925,619 ","$8,498,455 ","$79,636,600 ","$3,217,384 ","$1,233,435 ","$31,726,738 ","$1,144,699 ","$18,968,955 ","$21,982,366 ",$0 ,"$1,363,023 ","$1,363,023 ","$27,988,288 ","$6,859,004 ","$90,315,215 ","$8,992,785 "
Auburn University,100858,2006,Football Bowl Subdivision,Southeastern Conference,"$85,016,479 ",$0 ,"$13,114,873 ","$1,001,649 ","$3,188,299 ","$2,337,783 ","$7,454,174 ","$23,964,132 ","$13,805,562 ","$11,258,504 ","$8,891,502 ","$89,520,475 ","$5,452,581 ","$1,492,606 ","$35,359,635 ","$1,109,571 ","$17,849,342 ","$27,017,096 ",$0 ,"$1,239,642 ","$1,239,642 ","$24,460,646 ","$6,923,360 ","$82,698,233 ","$9,513,667 "
Auburn University,100858,2007,Football Bowl Subdivision,Southeastern Conference,"$90,057,158 ",$0 ,"$14,337,214 ","$948,917 ","$4,803,324 ","$1,797,693 ","$8,112,360 ","$23,852,504 ","$14,252,364 ","$13,334,679 ","$8,618,102 ","$106,901,171 ","$8,160,409 ","$1,277,578 ","$41,447,460 ",$0 ,"$21,064,338 ","$28,484,716 ",$0 ,"$6,466,669 ","$6,466,669 ","$29,996,972 ","$7,119,258 ","$76,904,877 ","$9,301,298 "
Auburn University,100858,2008,Football Bowl Subdivision,Southeastern Conference,"$87,898,979 ",$0 ,"$12,816,652 ","$817,412 ","$3,357,472 ","$1,828,077 ","$8,040,752 ","$23,778,321 ","$14,260,174 ","$14,012,004 ","$8,988,115 ","$112,403,827 ","$5,216,785 ","$7,651,096 ","$43,920,654 ","$133,771 ","$21,265,495 ","$27,677,663 ",$0 ,"$6,538,363 ","$6,538,363 ","$29,170,541 ","$7,089,984 ","$67,998,567 ","$9,133,029 "
