,SurveyYear,group,fulltype,Val,fulltypegroup,gender,type
351,2012,0.7,RevenuesWomensTeam,1629878.0999999999,RevenuesWomensTeam0.7,W,revenues
352,2012,0.8,OperatingExpensesperTeamMensTeam,1542016.6,OperatingExpensesperTeamMensTeam0.8,M,expenses
353,2012,0.8,OperatingExpensesperTeamWomensTeam,882105.2000000002,OperatingExpensesperTeamWomensTeam0.8,W,expenses
354,2012,0.8,RevenuesMensTeam,12132918.800000003,RevenuesMensTeam0.8,M,revenues
355,2012,0.8,RevenuesWomensTeam,2206889.200000002,RevenuesWomensTeam0.8,W,revenues
356,2012,0.9,OperatingExpensesperTeamMensTeam,1982914.9000000006,OperatingExpensesperTeamMensTeam0.9,M,expenses
357,2012,0.9,OperatingExpensesperTeamWomensTeam,1051591.9,OperatingExpensesperTeamWomensTeam0.9,W,expenses
358,2012,0.9,RevenuesMensTeam,16848229.200000003,RevenuesMensTeam0.9,M,revenues
359,2012,0.9,RevenuesWomensTeam,2677404.6,RevenuesWomensTeam0.9,W,revenues
360,2013,0.1,OperatingExpensesperTeamMensTeam,376751.0,OperatingExpensesperTeamMensTeam0.1,M,expenses
361,2013,0.1,OperatingExpensesperTeamWomensTeam,232737.0,OperatingExpensesperTeamWomensTeam0.1,W,expenses
362,2013,0.1,RevenuesMensTeam,1666152.5,RevenuesMensTeam0.1,M,revenues
363,2013,0.1,RevenuesWomensTeam,445059.5,RevenuesWomensTeam0.1,W,revenues
364,2013,0.2,OperatingExpensesperTeamMensTeam,471175.0,OperatingExpensesperTeamMensTeam0.2,M,expenses
365,2013,0.2,OperatingExpensesperTeamWomensTeam,323269.0,OperatingExpensesperTeamWomensTeam0.2,W,expenses
366,2013,0.2,RevenuesMensTeam,2164783.0,RevenuesMensTeam0.2,M,revenues
367,2013,0.2,RevenuesWomensTeam,719089.0,RevenuesWomensTeam0.2,W,revenues
368,2013,0.3,OperatingExpensesperTeamMensTeam,597471.0,OperatingExpensesperTeamMensTeam0.3,M,expenses
369,2013,0.3,OperatingExpensesperTeamWomensTeam,355107.0,OperatingExpensesperTeamWomensTeam0.3,W,expenses
370,2013,0.3,RevenuesMensTeam,2771923.0,RevenuesMensTeam0.3,M,revenues
371,2013,0.3,RevenuesWomensTeam,968101.5,RevenuesWomensTeam0.3,W,revenues
372,2013,0.4,OperatingExpensesperTeamMensTeam,795260.0,OperatingExpensesperTeamMensTeam0.4,M,expenses
373,2013,0.4,OperatingExpensesperTeamWomensTeam,448604.0,OperatingExpensesperTeamWomensTeam0.4,W,expenses
374,2013,0.4,RevenuesMensTeam,3968189.0,RevenuesMensTeam0.4,M,revenues
375,2013,0.4,RevenuesWomensTeam,1139697.0,RevenuesWomensTeam0.4,W,revenues
376,2013,0.5,OperatingExpensesperTeamMensTeam,1014153.5,OperatingExpensesperTeamMensTeam0.5,M,expenses
377,2013,0.5,OperatingExpensesperTeamWomensTeam,562898.5,OperatingExpensesperTeamWomensTeam0.5,W,expenses
378,2013,0.5,RevenuesMensTeam,6164608.0,RevenuesMensTeam0.5,M,revenues
379,2013,0.5,RevenuesWomensTeam,1283105.5,RevenuesWomensTeam0.5,W,revenues
380,2013,0.6,OperatingExpensesperTeamMensTeam,1132031.0,OperatingExpensesperTeamMensTeam0.6,M,expenses
381,2013,0.6,OperatingExpensesperTeamWomensTeam,693598.0,OperatingExpensesperTeamWomensTeam0.6,W,expenses
382,2013,0.6,RevenuesMensTeam,7542651.0,RevenuesMensTeam0.6,M,revenues
383,2013,0.6,RevenuesWomensTeam,1426501.0,RevenuesWomensTeam0.6,W,revenues
384,2013,0.7,OperatingExpensesperTeamMensTeam,1311068.5,OperatingExpensesperTeamMensTeam0.7,M,expenses
385,2013,0.7,OperatingExpensesperTeamWomensTeam,782670.0,OperatingExpensesperTeamWomensTeam0.7,W,expenses
386,2013,0.7,RevenuesMensTeam,8543944.5,RevenuesMensTeam0.7,M,revenues
387,2013,0.7,RevenuesWomensTeam,1663919.0,RevenuesWomensTeam0.7,W,revenues
388,2013,0.8,OperatingExpensesperTeamMensTeam,1573044.0,OperatingExpensesperTeamMensTeam0.8,M,expenses
389,2013,0.8,OperatingExpensesperTeamWomensTeam,941840.0,OperatingExpensesperTeamWomensTeam0.8,W,expenses
390,2013,0.8,RevenuesMensTeam,10604524.0,RevenuesMensTeam0.8,M,revenues
391,2013,0.8,RevenuesWomensTeam,2007501.0,RevenuesWomensTeam0.8,W,revenues
392,2013,0.9,OperatingExpensesperTeamMensTeam,1966264.5,OperatingExpensesperTeamMensTeam0.9,M,expenses
393,2013,0.9,OperatingExpensesperTeamWomensTeam,1076127.5,OperatingExpensesperTeamWomensTeam0.9,W,expenses
394,2013,0.9,RevenuesMensTeam,16582958.0,RevenuesMensTeam0.9,M,revenues
395,2013,0.9,RevenuesWomensTeam,2817204.0,RevenuesWomensTeam0.9,W,revenues
396,2014,0.1,OperatingExpensesperTeamMensTeam,390242.5,OperatingExpensesperTeamMensTeam0.1,M,expenses
397,2014,0.1,OperatingExpensesperTeamWomensTeam,261998.5,OperatingExpensesperTeamWomensTeam0.1,W,expenses
398,2014,0.1,RevenuesMensTeam,1742675.5,RevenuesMensTeam0.1,M,revenues
399,2014,0.1,RevenuesWomensTeam,370405.0,RevenuesWomensTeam0.1,W,revenues
400,2014,0.2,OperatingExpensesperTeamMensTeam,451890.0,OperatingExpensesperTeamMensTeam0.2,M,expenses
401,2014,0.2,OperatingExpensesperTeamWomensTeam,331136.0,OperatingExpensesperTeamWomensTeam0.2,W,expenses
402,2014,0.2,RevenuesMensTeam,2165788.0,RevenuesMensTeam0.2,M,revenues
403,2014,0.2,RevenuesWomensTeam,668415.0,RevenuesWomensTeam0.2,W,revenues
404,2014,0.3,OperatingExpensesperTeamMensTeam,646326.0,OperatingExpensesperTeamMensTeam0.3,M,expenses
405,2014,0.3,OperatingExpensesperTeamWomensTeam,401075.5,OperatingExpensesperTeamWomensTeam0.3,W,expenses
406,2014,0.3,RevenuesMensTeam,2913311.5,RevenuesMensTeam0.3,M,revenues
407,2014,0.3,RevenuesWomensTeam,1008013.0,RevenuesWomensTeam0.3,W,revenues
408,2014,0.4,OperatingExpensesperTeamMensTeam,846114.0,OperatingExpensesperTeamMensTeam0.4,M,expenses
409,2014,0.4,OperatingExpensesperTeamWomensTeam,503390.0,OperatingExpensesperTeamWomensTeam0.4,W,expenses
410,2014,0.4,RevenuesMensTeam,3952661.0,RevenuesMensTeam0.4,M,revenues
411,2014,0.4,RevenuesWomensTeam,1227822.0,RevenuesWomensTeam0.4,W,revenues
412,2014,0.5,OperatingExpensesperTeamMensTeam,1108609.5,OperatingExpensesperTeamMensTeam0.5,M,expenses
413,2014,0.5,OperatingExpensesperTeamWomensTeam,609182.5,OperatingExpensesperTeamWomensTeam0.5,W,expenses
414,2014,0.5,RevenuesMensTeam,6333623.0,RevenuesMensTeam0.5,M,revenues
415,2014,0.5,RevenuesWomensTeam,1385875.0,RevenuesWomensTeam0.5,W,revenues
416,2014,0.6,OperatingExpensesperTeamMensTeam,1241635.0,OperatingExpensesperTeamMensTeam0.6,M,expenses
417,2014,0.6,OperatingExpensesperTeamWomensTeam,764364.0,OperatingExpensesperTeamWomensTeam0.6,W,expenses
418,2014,0.6,RevenuesMensTeam,7594044.0,RevenuesMensTeam0.6,M,revenues
