,Pos,Rating,Followers,year,name,state,Hometown,FollowersT,NILvalue2,NILVal
74,S,95.55,23K,2023,Javien Toviano,TX,MartinArlington,23000.0,156K,156000.0
75,EDGE,94.85,6.1K,2023,Jordan Renaud,TX,Tyler LegacyTyler,6100.0,156K,156000.0
76,EDGE,97.55,73K,2024,Colin Simmons,TX,DuncanvilleDuncanville,73000.0,156K,156000.0
77,DL,94.67,23K,2023,Kelby Collins,AL,GardendaleGardendale,23000.0,156K,156000.0
78,CB,94.6,6.4K,2023,Christian Gray,MO,DeSmetSaint Louis,6400.0,154K,154000.0
79,RB,94.85,5.9K,2023,Jeremiyah Love,MO,Christian Brothers CollegeSaint Louis,5900.0,154K,154000.0
80,EDGE,94.54,3.3K,2023,Yhonzae Pierre,AL,Eufaula Eufaula,3300.0,153K,153000.0
81,QB,94.79,19.1K,2024,CJ Carr,MI,SalineSaline,19100.0,152K,152000.0
82,LB,94.73,14.4K,2023,Suntarine Perkins,MS,RaleighRaleigh,14400.0,152K,152000.0
83,EDGE,93.48,17.9K,2023,Colton Vasek,TX,WestlakeAustin,17900.0,149K,149000.0
84,WR,97.2,44K,2024,Joshisa Trader,FL,Chaminade-Madonna PrepMiami,44000.0,149K,149000.0
85,OT,95.23,6.1K,2023,Monroe Freeling,SC,Oceanside Collegiate AcademyMount Pleasant,6100.0,148K,148000.0
86,WR,97.58,12.6K,2024,Micah Hudson,TX,Lake BeltonTemple,12600.0,148K,148000.0
87,WR,94.25,23K,2023,Jalen Brown,FL,Gulliver PrepMiami,23000.0,148K,148000.0
88,DL,95.15,11.7K,2023,Vic Burley,GA,Warner RobinsWarner Robins,11700.0,148K,148000.0
89,LB,94.22,28K,2023,Drayk Bowen,IN,AndreanMerrillville,28000.0,147K,147000.0
90,LB,96.84,18.6K,2024,TJ Capers,FL,ColumbusMiami,18600.0,147K,147000.0
91,DL,95.37,15K,2023,Jason Moore,MD,DeMatha CatholicFort Washington,15000.0,147K,147000.0
92,OT,95.55,3K,2023,Zalance Heard,LA,NevilleMonroe,3000.0,146K,146000.0
93,EDGE,93.21,12.6K,2023,Derion Gullette,TX,TeagueMarlin,12600.0,145K,145000.0
94,IOL,95.49,7.9K,2023,Jven Williams,PA,WyomissingReading,7900.0,144K,144000.0
95,CB,93.41,23K,2023,Daylen Austin,CA,Long Beach PolyLong Beach,23000.0,144K,144000.0
96,WR,92.91,27K,2023,Jaden Greathouse,TX,WestlakeAustin,27000.0,144K,144000.0
97,LB,94.48,21K,2023,Troy Bowles,FL,JesuitTampa,21000.0,143K,143000.0
98,QB,95.88,18.7K,2024,Julian Sayin,CA,CarlsbadCarlsbad,18700.0,143K,143000.0
99,CB,92.94,42K,2023,Caleb Presley,WA,Rainier BeachSammamish,42000.0,143K,143000.0
