,SurveyYear,type,Val
101,2006,TotalOperatingExpensesMensTeamandWomensTeam,202283.52216748768
102,2006,RevenuesMensTeam,680570.1262437811
103,2006,RevenuesWomensTeam,255382.15609137056
104,2006,TotalRevenuesForMensTeamandWomensTeam,922186.5317313616
105,2006,TotalRevenuesMensTeamandMenCoedTeam,673865.0018472907
106,2006,TotalRevenuesWomensTeamandWomenCoedTeam,247833.91502463055
107,2006,TotalRevenuesMensTeamWomensTeamandCoedTeam,921618.6828817734
108,2006,ExpensesMensTeam,535990.3215174129
109,2006,ExpensesWomensTeam,366173.4555837563
110,2006,TotalExpensesMensTeamandWomensTeam,886060.2235221675
111,2006,TotalExpensesMensTeamandMenCoedTeam,530709.6286945813
112,2006,TotalExpensesWomensTeamandWomenCoedTeam,355350.5948275862
113,2006,TotalExpensesMensTeamWomensTeamandCoedTeam,886060.2235221675
114,2007,TotalUndergraduates,4274.827420324715
115,2007,ParticipantsMensTeam,16.003667481662593
116,2007,ParticipantsWomensTeam,14.103598014888338
117,2007,TotalParticipantsMensTeamMenCoedTeam,15.743836440168371
118,2007,TotalParticipantsWomensTeamWomenCoedTeam,13.67107636800962
119,2007,OperatingExpensesperParticipantMensTeam,8281.408899579073
120,2007,OperatingExpensesperTeamMensTeam,124975.50932050511
121,2007,OperatingExpensesperParticipantWomensTeam,5971.549609140108
122,2007,OperatingExpensesperTeamWomensTeam,83541.20986169574
123,2007,TotalOperatingExpensesMensTeamandWomensTeam,208516.71918220085
124,2007,RevenuesMensTeam,746471.1821515892
125,2007,RevenuesWomensTeam,293032.9609181142
126,2007,TotalRevenuesForMensTeamandWomensTeam,1018398.0679494889
127,2007,TotalRevenuesMensTeamandMenCoedTeam,734351.6861094408
128,2007,TotalRevenuesWomensTeamandWomenCoedTeam,284046.3818400481
129,2007,TotalRevenuesMensTeamWomensTeamandCoedTeam,1018398.0679494889
130,2007,ExpensesMensTeam,587562.3569682152
131,2007,ExpensesWomensTeam,390847.0800248139
132,2007,TotalExpensesMensTeamandWomensTeam,956883.6494287433
133,2007,TotalExpensesMensTeamandMenCoedTeam,578022.8598917619
134,2007,TotalExpensesWomensTeamandWomenCoedTeam,378860.7895369814
135,2007,TotalExpensesMensTeamWomensTeamandCoedTeam,956883.6494287433
136,2008,TotalUndergraduates,4219.584826762246
137,2008,ParticipantsMensTeam,15.975151515151515
138,2008,ParticipantsWomensTeam,14.320273631840797
139,2008,TotalParticipantsMensTeamMenCoedTeam,15.746117084826762
140,2008,TotalParticipantsWomensTeamWomenCoedTeam,13.755675029868579
141,2008,OperatingExpensesperParticipantMensTeam,8835.201911589009
142,2008,OperatingExpensesperTeamMensTeam,133984.96535244922
143,2008,OperatingExpensesperParticipantWomensTeam,6292.490442054958
144,2008,OperatingExpensesperTeamWomensTeam,90180.85483870968
145,2008,TotalOperatingExpensesMensTeamandWomensTeam,224165.8201911589
146,2008,RevenuesMensTeam,794000.1563636364
147,2008,RevenuesWomensTeam,319437.7555970149
148,2008,TotalRevenuesForMensTeamandWomensTeam,1089460.0770609318
149,2008,TotalRevenuesMensTeamandMenCoedTeam,782616.6415770609
150,2008,TotalRevenuesWomensTeamandWomenCoedTeam,306843.43548387097
151,2008,TotalRevenuesMensTeamWomensTeamandCoedTeam,1089460.0770609318
152,2008,ExpensesMensTeam,624697.4442424242
153,2008,ExpensesWomensTeam,420015.3221393035
154,2008,TotalExpensesMensTeamandWomensTeam,1019196.7867383512
155,2008,TotalExpensesMensTeamandMenCoedTeam,615741.2084826762
156,2008,TotalExpensesWomensTeamandWomenCoedTeam,403455.57825567503
157,2008,TotalExpensesMensTeamWomensTeamandCoedTeam,1019196.7867383512
158,2009,TotalUndergraduates,4394.904818560381
159,2009,ParticipantsMensTeam,16.099153567110037
160,2009,ParticipantsWomensTeam,14.524691358024691
161,2009,TotalParticipantsMensTeamMenCoedTeam,15.840571088637716
162,2009,TotalParticipantsWomensTeamWomenCoedTeam,13.997620464009518
163,2009,OperatingExpensesperParticipantMensTeam,8356.030933967877
164,2009,OperatingExpensesperTeamMensTeam,127346.21296847115
165,2009,OperatingExpensesperParticipantWomensTeam,5970.5306365258775
166,2009,OperatingExpensesperTeamWomensTeam,86679.28256989887
167,2009,TotalOperatingExpensesMensTeamandWomensTeam,214025.49553837
168,2009,RevenuesMensTeam,856863.0133010882
169,2009,RevenuesWomensTeam,348842.23580246913
170,2009,TotalRevenuesForMensTeamandWomensTeam,1179283.6680547292
171,2009,TotalRevenuesMensTeamandMenCoedTeam,843100.1927424152
172,2009,TotalRevenuesWomensTeamandWomenCoedTeam,336183.4753123141
173,2009,TotalRevenuesMensTeamWomensTeamandCoedTeam,1179283.6680547292
174,2009,ExpensesMensTeam,653898.492140266
175,2009,ExpensesWomensTeam,429390.1259259259
176,2009,TotalExpensesMensTeamandWomensTeam,1057204.1106484237
177,2009,TotalExpensesMensTeamandMenCoedTeam,643395.6609161213
178,2009,TotalExpensesWomensTeamandWomenCoedTeam,413808.4497323022
179,2009,TotalExpensesMensTeamWomensTeamandCoedTeam,1057204.1106484237
180,2010,TotalUndergraduates,4496.089508002371
181,2010,ParticipantsMensTeam,16.233594220349186
182,2010,ParticipantsWomensTeam,14.673017824216348
183,2010,TotalParticipantsMensTeamMenCoedTeam,15.983402489626556
184,2010,TotalParticipantsWomensTeamWomenCoedTeam,14.151155898043864
185,2010,OperatingExpensesperParticipantMensTeam,8900.078838174273
186,2010,OperatingExpensesperTeamMensTeam,136268.24184943686
187,2010,OperatingExpensesperParticipantWomensTeam,6187.139893301719
188,2010,OperatingExpensesperTeamWomensTeam,91600.52163604031
189,2010,TotalOperatingExpensesMensTeamandWomensTeam,227868.7634854772
190,2010,RevenuesMensTeam,892058.730885009
191,2010,RevenuesWomensTeam,369315.0577750461
192,2010,TotalRevenuesForMensTeamandWomensTeam,1234490.3088322466
193,2010,TotalRevenuesMensTeamandMenCoedTeam,878310.3449911085
