,Name,Pos,Rating,Followers,state,Hometown,FollowersT,NILvalue2,NILVal
63,DeWayne Carter,DL,88.37,7.7K,OH,Pickerington CentralPickerington,7700.0,425K,425000.0
64,Aydan White,CB,85.97,2.3K,NC,Christ SchoolArden,2300.0,423K,423000.0
65,Cameron Rising,QB,90.68,28K,CA,Newbury ParkNewbury Park,28000.0,422K,422000.0
66,Eric Gray,RB,92.22,41K,TN,Lausanne Collegiate SchoolMemphis,41000.0,420K,420000.0
67,Trey Palmer,WR,94.46,48K,LA,KentwoodKentwood,48000.0,419K,419000.0
68,Warren McClendon,OT,92.03,11.7K,GA,BrunswickBrunswick,11700.0,415K,415000.0
69,Dillon Gabriel,QB,86.8,97K,HI,MililaniMililani,97000.0,414K,414000.0
70,Taulia Tagovailoa,QB,91.89,157K,AL,ThompsonAlabaster,157000.0,413K,413000.0
71,Zay Flowers,WR,84.0,21K,FL,University SchoolFort Lauderdale,21000.0,412K,412000.0
72,Derick Hall,EDGE,92.56,27K,MS,GulfportGulfport,27000.0,402K,402000.0
73,Justin Flowe,LB,99.05,339K,CA,UplandUpland,339000.0,401K,401000.0
74,D.J. Johnson,LB,94.82,326K,CA,Luther BurbankSacramento,326000.0,400K,400000.0
75,Anthony Richardson,QB,91.89,117K,FL,EastsideGainesville,117000.0,400K,400000.0
76,DJ Uiagalelei,QB,98.32,198K,CA,St. John BoscoBellflower,198000.0,396K,396000.0
77,Jordan Travis,QB,85.0,89K,FL,The Benjamin SchoolNorth Palm Beach,89000.0,386K,386000.0
78,Emeka Egbuka,WR,97.86,70K,WA,SteilacoomSteilacoom,70000.0,382K,382000.0
79,Dwight McGlothern,CB,90.37,30K,TX,Klein OakSpring,30000.0,381K,381000.0
80,Paris Johnson Jr.,OT,98.73,112K,OH,PrincetonCincinnati,112000.0,376K,376000.0
81,Kamren Kinchens,S,89.9,23K,FL,NorthwesternMiami,23000.0,375K,375000.0
82,Max Duggan,QB,91.5,27K,IA,Lewis CentralCouncil Bluffs,27000.0,374K,374000.0
83,Antonio Johnson,CB,95.48,21K,IL,East St. LouisEast Saint Louis,21000.0,373K,373000.0
84,Brett Neilon,IOL,91.95,4.8K,CA,Santa Margarita CatholicRancho Santa Margarita,4800.0,371K,371000.0
85,TreVeyon Henderson,RB,97.5,121K,VA,HopewellHopewell,121000.0,370K,370000.0
86,Will Rogers,QB,87.1,45K,MS,BrandonBrandon,45000.0,363K,363000.0
87,Jaylen Harrell,LB,89.94,9.7K,FL,Berkeley PrepTampa,9700.0,362K,362000.0
88,Mekhi Blackmon,CB,,12.7K,CA,Menlo-AthertonSan Mateo,12700.0,361K,361000.0
89,BJ Ojulari,EDGE,94.71,26K,GA,MariettaMarietta,26000.0,358K,358000.0
90,Payton Thorne,QB,83.53,30K,IL,Naperville CentralNaperville,30000.0,356K,356000.0
91,Luke Wypler,IOL,93.21,16.4K,NJ,St Joseph RegionalMontvale,16400.0,354K,354000.0
92,Tommy Eichenberg,LB,89.41,13.4K,OH,St IgnatiusCleveland,13400.0,352K,352000.0
93,Ryan Hayes,OT,89.39,6.5K,MI,Traverse City WestTraverse City,6500.0,350K,350000.0
94,Charlie Jones,WR,76.32,11.1K,IL,DeerfieldDeerfield,11100.0,349K,349000.0
95,Josh Downs,WR,94.87,43K,GA,North GwinnettSuwanee,43000.0,348K,348000.0
96,Kendre Miller,ATH,82.32,13.9K,TX,Mount EnterpriseMount Enterprise,13900.0,344K,344000.0
97,Sydney Brown,S,81.45,7.3K,FL,St Stephen's Episcopal SchoolBradenton,7300.0,340K,340000.0
98,Cory Trice,CB,83.8,6.2K,KY,Christian CountyHopkinsville,6200.0,339K,339000.0
99,Israel Abanikanda,RB,87.81,12.9K,NY,Abraham LincolnBrooklyn,12900.0,339K,339000.0
