,SurveyYear,InstitutionName,UGratioBG,MaleUndergraduates,FemaleUndergraduates,RevenuesMensTeam,RevenuesWomensTeam,ExpensesMensTeam,ExpensesWomensTeam,OperatingExpensesperTeamMensTeam,OperatingExpensesperTeamWomensTeam
43,2003,Arkansas State University-Main Campus,0.718994928538497,3119.0,4338.0,608142.0,62568.0,1003204.0,615035.0,278351.0,217518.0
44,2003,Arkansas Tech University,0.9205695016860247,2457.0,2669.0,256342.0,356923.0,256342.0,356923.0,31452.0,71828.0
45,2003,Asbury College,0.7153614457831325,475.0,664.0,29763.0,19244.0,38763.0,22244.0,29265.0,18701.0
46,2003,Ashland University,0.6956214689265536,985.0,1416.0,285096.0,238123.0,471147.0,438539.0,39356.0,31270.0
47,2003,Assumption College,0.6069017254313578,809.0,1333.0,483138.0,497339.0,442924.0,427585.0,24850.0,24650.0
48,2003,Atlanta Christian College,1.0849673202614378,166.0,153.0,13500.0,17400.0,13500.0,17400.0,13400.0,17300.0
49,2003,Atlantic Cape Community College,0.6597051597051597,1074.0,1628.0,20000.0,,20500.0,,13000.0,0.0
50,2003,Auburn University Main Campus,1.0335376431132184,8937.0,8647.0,4240700.0,53971.0,4343793.0,2198011.0,695849.0,545308.0
51,2003,Auburn University-Montgomery,0.5276435856146001,983.0,1863.0,52353.0,40835.0,236535.0,188459.0,26191.0,26191.0
52,2003,Augsburg College,0.7554716981132076,1001.0,1325.0,52261.0,44455.0,47794.0,42133.0,16463.0,15820.0
53,2003,Augustana College,0.7236941710825132,956.0,1321.0,181489.0,86307.0,155023.0,82801.0,35570.0,22837.0
54,2003,Augustana College,0.5625579240037072,607.0,1079.0,199453.0,145750.0,387938.0,299346.0,70257.0,48937.0
55,2003,Aurora University,0.5946843853820598,537.0,903.0,62454.0,42647.0,54582.0,36074.0,13884.0,11089.0
56,2003,Austin College,0.7725381414701803,557.0,721.0,61151.0,69987.0,61151.0,69987.0,27864.0,35756.0
57,2003,Austin Peay State University,0.5856453558504222,1942.0,3316.0,415771.0,4000.0,432381.0,373782.0,80621.0,65734.0
