,SurveyYear,StateCD,OperatingExpensesperTeamMensTeam,OperatingExpensesperTeamWomensTeam,RevenuesMensTeam,RevenuesWomensTeam,UGratioBG,stateN
0,2003,AK,154551.5,85525.0,658554.0,241277.0,0.776396427946069,Alaska
1,2003,AL,137670.77142857143,88442.22857142857,609633.3714285714,224815.5,0.7754881475610635,Alabama
2,2003,AR,101081.66666666667,61532.380952380954,723002.1904761905,144080.04761904763,0.7954377592182262,Arkansas
3,2003,AZ,104637.29411764706,72674.94117647059,1130691.5882352942,126261.11764705883,0.8705318966991619,Arizona
4,2003,CA,75095.11111111111,51905.583333333336,453586.20192307694,155660.83653846153,0.8023358345232473,California
5,2003,CO,109376.05,82559.05,421464.1,259228.16666666666,0.912257891818512,Colorado
6,2003,CT,140093.11764705883,109486.58823529411,650675.4705882353,579996.2941176471,0.8138349653553226,Connecticut
7,2003,DC,310664.8,178325.0,1236998.6,507994.2,0.6796992481203008,District of Columbia
8,2003,DE,105088.75,69817.25,536545.25,330149.25,0.7109850696471766,Delaware
9,2003,FL,99146.24528301887,71530.45283018867,563609.6981132076,200751.89130434784,0.7569520617789561,Florida
10,2003,GA,83576.59375,63222.875,523866.5625,140650.70967741936,0.7860711345766273,Georgia
11,2003,HI,180793.75,71306.0,546202.0,731313.0,0.7027460770328102,Hawaii
12,2003,IA,65249.48780487805,49252.73170731707,449906.60975609755,95413.17948717948,0.8881116595299579,Iowa
13,2003,ID,130397.75,100632.25,373215.25,187167.75,0.9063440971861697,Idaho
14,2003,IL,58630.73809523809,44973.32142857143,396264.7261904762,104018.77380952382,0.8567437290841546,Illinois
15,2003,IN,102984.28571428571,81387.37142857142,920645.5714285715,190462.48571428572,0.9173019147123447,Indiana
16,2003,KS,69264.68181818182,52061.59090909091,445828.9090909091,94494.52272727272,0.9135648560403681,Kansas
17,2003,KY,219374.4,87896.12,1426329.12,205124.0,0.7809692694428747,Kentucky
18,2003,LA,125271.63636363637,112559.40909090909,532338.8571428572,213622.8,0.7183258805993566,Louisiana
19,2003,MA,52778.717391304344,42867.30434782609,229731.6739130435,139897.71739130435,0.8606583355972108,Massachusetts
20,2003,MD,62869.8,45452.73333333333,497437.9666666667,122604.5172413793,0.8050848750133451,Maryland
21,2003,ME,29776.69230769231,35246.307692307695,106471.84615384616,123872.38461538461,0.7902045283535126,Maine
22,2003,MI,68727.30612244898,53822.63265306123,505739.44897959183,144906.0612244898,0.8332734381738206,Michigan
23,2003,MN,37339.075,33347.875,307621.725,87353.9,0.8328873239436619,Minnesota
24,2003,MO,68013.32653061225,48874.163265306124,411844.8043478261,158770.4375,0.7813198683648604,Missouri
25,2003,MS,96534.5925925926,68220.25925925926,386377.0,99936.22222222222,0.6928678627464355,Mississippi
26,2003,MT,88512.09090909091,81840.81818181818,289598.0909090909,223050.9090909091,0.9476167681050401,Montana
27,2003,NC,117944.11111111111,76586.5925925926,908759.8888888889,127133.1914893617,0.7998162749751205,North Carolina
28,2003,ND,31957.133333333335,31956.6,104548.8,99402.06666666667,1.0838509316770186,North Dakota
29,2003,NE,64460.28571428572,45708.142857142855,297465.95238095237,102864.16666666667,0.9208216862770591,Nebraska
30,2003,NH,54282.818181818184,42014.36363636364,238412.18181818182,201308.81818181818,0.7990140920537963,New Hampshire
31,2003,NJ,64785.10256410256,42828.717948717946,338991.7948717949,165256.27777777778,0.8130034702320783,New Jersey
32,2003,NM,141774.42857142858,101572.71428571429,1206649.5714285714,323217.6666666667,0.7996906862183526,New Mexico
33,2003,NV,332906.5,254295.0,3133316.0,124053.0,0.7685308651658954,Nevada
34,2003,NY,57670.59459459459,40781.792792792796,345348.30630630633,148679.3394495413,0.8562470852588289,New York
35,2003,OH,135134.7,73008.78,802327.74,140987.02,0.8700900804535349,Ohio
36,2003,OK,91347.81818181818,64656.545454545456,620773.9090909091,128142.06060606061,0.8375665941322128,Oklahoma
37,2003,OR,61830.807692307695,47655.5,436018.42307692306,112002.28,0.87891030560195,Oregon
38,2003,PA,77924.3111111111,47712.36666666667,385223.76404494385,189128.1011235955,0.829130622288744,Pennsylvania
39,2003,RI,160432.375,83592.25,1074957.875,244230.5,0.8061081788243786,Rhode Island
40,2003,SC,106870.96428571429,71060.25,498609.46428571426,172222.59259259258,0.794863150797497,South Carolina
41,2003,SD,37669.181818181816,35928.27272727273,137940.0,114672.45454545454,0.8691423519009726,South Dakota
42,2003,TN,127225.0,76438.30952380953,704687.5476190476,263119.2619047619,0.7559597192554166,Tennessee
43,2003,TX,107407.83950617284,88190.76543209876,550945.1518987342,237713.45569620252,0.8319437514175549,Texas
44,2003,UT,165095.5,112265.3,1012169.2,194295.7,1.1115466239334746,Utah
45,2003,VA,131183.96875,101312.1875,567051.1875,225587.51612903227,0.818060626441199,Virginia
46,2003,VT,39540.42857142857,38692.71428571428,245014.42857142858,234514.0,0.9500169242920005,Vermont
47,2003,WA,69207.91176470589,58323.64705882353,346547.9117647059,134984.5588235294,0.8215676229508196,Washington
48,2003,WI,97175.59375,58600.875,667855.03125,132754.9375,0.8076127819548872,Wisconsin
49,2003,WV,64784.05,41117.8,323852.05,96410.75,0.9212701174423662,West Virginia
50,2003,WY,65399.42857142857,45741.142857142855,505105.0,180486.33333333334,0.8289912334856154,Wyoming
51,2004,AK,121829.5,89051.5,682585.0,292665.5,0.7813460881448582,Alaska
52,2004,AL,134623.19444444444,82024.30555555556,627482.0,260547.91176470587,0.7793098561609864,Alabama
53,2004,AR,103698.19047619047,66594.23809523809,756531.8095238095,160156.52380952382,0.7844712554208829,Arkansas
