,Rank,Name,Pos,Rating,Followers,state,Hometown,FollowersT,NILvalue2,NILVal,basketball,womens-basketball,gender
45,46,Matthew Mayer,SF,93.1,8.5K,TX,WestlakeAustin,8500.0,165K,165000.0,1.0,,Mens
46,47,Coleman Hawkins,PF,89.87,77K,CA,Prolific PrepAntelope,77000.0,149K,149000.0,1.0,,Mens
47,48,Ronaldo Segu,PG,86.49,187K,FL,Orlando Christian PrepOrlando,187000.0,145K,145000.0,1.0,,Mens
48,49,MJ Rice,SF,97.39,65K,VA,Prolific PrepMouth Of Wilson,65000.0,144K,144000.0,1.0,,Mens
49,50,Leaky Black,SF,94.78,104K,NC,Cox MillConcord,104000.0,134K,134000.0,1.0,,Mens
50,51,Jacob Toppin,SF,,81K,CT,Woodstock AcademyWoodstock,81000.0,133K,133000.0,1.0,,Mens
51,52,Kerr Kriisa,PG,,29K,tu,EstoniaTartu,29000.0,133K,133000.0,1.0,,Mens
52,53,Doug Edert,PG,,256K,NJ,Bergen CatholicNutley,256000.0,132K,132000.0,1.0,,Mens
53,54,Cliff Omoruyi,C,96.04,25K,NJ,Roselle CatholicRoselle,25000.0,132K,132000.0,1.0,,Mens
54,55,Colin Castleton,C,,16.2K,FL,Father Lopez CatholicDaytona Beach,16200.0,127K,127000.0,1.0,,Mens
55,56,Oumar Ballo,C,,18K,li,NBA Academy Latin AmericaMali,18000.0,127K,127000.0,1.0,,Mens
56,57,AJ Hoggard,PG,94.3,41K,PA,Huntington PrepWayne,41000.0,123K,123000.0,1.0,,Mens
57,58,JJ Starling,CG,98.34,13.2K,NY,La Lumiere SchoolBaldwinsville,13200.0,119K,119000.0,1.0,,Mens
58,59,Sahvir Wheeler,PG,92.88,42K,TX,Houston ChristianHouston,42000.0,119K,119000.0,1.0,,Mens
59,60,Cam'Ron Fletcher,SF,95.19,142K,MO,VashonSaint Louis,142000.0,117K,117000.0,1.0,,Mens
60,61,Caleb Daniels,SG,,11.9K,LA,St. AugustineNew Orleans,11900.0,116K,116000.0,1.0,,Mens
61,62,Hercy Miller,PG,,167K,MN,Minnehaha AcademyMinneapolis,167000.0,115K,115000.0,1.0,,Mens
62,63,Dajuan Harris,CG,91.27,36K,MO,Rock BridgeColumbia,36000.0,115K,115000.0,1.0,,Mens
63,64,Taylor Hendricks,PF,95.16,10.9K,FL,Calvary Christian AcademyFort Lauderdale,10900.0,113K,113000.0,1.0,,Mens
64,65,Kevin McCullar,SG,90.48,35K,TX,Karen WagnerSan Antonio,35000.0,112K,112000.0,1.0,,Mens
65,66,Ryan Kalkbrenner,C,92.88,6.6K,MO,Trinity CatholicSaint Louis,6600.0,112K,112000.0,1.0,,Mens
66,67,Nolan Hickman,PG,97.38,35K,UT,Wasatch AcademyMount Pleasant,35000.0,112K,112000.0,1.0,,Mens
67,68,Vance Jackson,SF,93.63,134K,CA,St. John BoscoPasadena,134000.0,111K,111000.0,1.0,,Mens
68,69,Zed Key,SF,90.74,30K,NY,Long Island LutheranGlen Head,30000.0,109K,109000.0,1.0,,Mens
69,70,Meechie Johnson,PG,87.96,202K,OH,Andrews Osborne AcademyCleveland,202000.0,107K,107000.0,1.0,,Mens
70,71,Devan Cambridge,SF,85.17,128K,AZ,Hillcrest PrepPhoenix,128000.0,107K,107000.0,1.0,,Mens
71,72,Brice Sensabaugh,SG,95.18,16.2K,FL,Lake Highland PrepOrlando,16200.0,106K,106000.0,1.0,,Mens
72,73,Tyler Wahl,SF,85.23,21K,MN,Lakeville NorthLakeville,21000.0,106K,106000.0,1.0,,Mens
73,74,Pete Nance,SF,93.6,24K,OH,RevereRichfield,24000.0,106K,106000.0,1.0,,Mens
74,75,P.J. Hall,PF,95.85,29K,SC,DormanRoebuck,29000.0,105K,105000.0,1.0,,Mens
75,76,Johnny Juzang,SF,97.06,135K,CA,Harvard WestlakeStudio City,135000.0,104K,104000.0,1.0,,Mens
76,77,Armaan Franklin,SG,91.15,25K,IN,CathedralIndianapolis,25000.0,104K,104000.0,1.0,,Mens
77,78,Santiago Vescovi,PG,87.01,23K,eo,NBA Academy Latin AmericaMontevideo,23000.0,103K,103000.0,1.0,,Mens
78,79,Kofi Cockburn,C,96.36,135K,VA,Oak Hill AcademyMouth Of Wilson,135000.0,101K,101000.0,1.0,,Mens
79,80,Max Abmas,CG,,22K,TX,JesuitDallas,22000.0,101K,101000.0,1.0,,Mens
80,81,Jayden Gardner,PF,,15.7K,NC,HeritageWake Forest,15700.0,100K,100000.0,1.0,,Mens
81,82,Terquavion Smith,SG,92.81,21K,NC,Farmville CentralFarmville,21000.0,99K,99000.0,1.0,,Mens
82,83,Grant Sherfield,CG,,11.1K,KS,Sunrise ChristianWichita,11100.0,98K,98000.0,1.0,,Mens
83,84,Chucky Hepburn,PG,,55K,NE,Bellevue WestBellevue,55000.0,97K,97000.0,1.0,,Mens
84,85,Isaiah Wong,SG,94.24,16.8K,NJ,Monsignor BonnerTrenton,16800.0,97K,97000.0,1.0,,Mens
85,86,Wendell Green,PG,,46K,MI,La Lumiere SchoolDetroit,46000.0,96K,96000.0,1.0,,Mens
86,87,Davonte Davis,CG,91.38,292K,AR,JacksonvilleJacksonville,292000.0,96K,96000.0,1.0,,Mens
87,88,Jamarion Sharp,C,,13.2K,IL,HopkinsvilleCarterville,13200.0,94K,94000.0,1.0,,Mens
88,89,DaRon Holmes,PF,95.77,17.9K,FL,Montverde AcademyMontverde,17900.0,94K,94000.0,1.0,,Mens
89,90,Dillon Mitchell,SF,99.3,31K,FL,Montverde AcademySpring Hill,31000.0,94K,94000.0,1.0,,Mens
