,Name,Pos,Rating,Followers,state,Hometown,FollowersT,NILvalue2,NILVal
59,Dawand Jones2019,OT,96.01,32K,IN,Ben Davis(Indianapolis,32000.0,631K,631000.0
60,Jackson Arnold2023,QB,99.16,35K,TX,Guyer(Denton,35000.0,620K,620000.0
61,Trayce Jackson-Davis2019,PF,95.79,134K,IN,Center Grove(Greenwood,134000.0,613K,613000.0
62,Brian Branch2020,S,99.07,26K,GA,Sandy Creek(Tyrone,26000.0,613K,613000.0
63,Amari Bailey2022,CG,93.99,571K,CA,Sierra Canyon(Chatsworth,571000.0,596K,596000.0
64,Joey Porter Jr.2019,CB,99.33,28K,PA,North Allegheny(Wexford,28000.0,589K,589000.0
65,Flau'jae Johnson2022,CG,90.27,1.1M,GA,Sprayberry(Savannah,1100000.0,588K,588000.0
66,Shilo Sanders2019,S,96.06,736K,TX,Trinity Christian School(Cedar Hill,736000.0,587K,587000.0
67,Zach Charbonnet2019,RB,88.17,22K,CA,Oaks Christian(Westlake Village,22000.0,572K,572000.0
68,DJ Wagner Jr.2023,CG,99.3,133K,NJ,Camden(Camden,133000.0,572K,572000.0
69,Jordan Battle2019,S,99.19,82K,FL,St. Thomas Aquinas(Fort Lauderdale,82000.0,571K,571000.0
70,GG Jackson2022,PF,89.7,50K,SC,Ridge View(Columbia,50000.0,565K,565000.0
71,Peter Skoronski2020,IOL,99.17,5K,IL,Maine South(Park Ridge,5000.0,561K,561000.0
72,Isaiah Collier2023,PG,90.68,43K,GA,Wheeler(Marietta,43000.0,561K,561000.0
73,Xavier Hutchinson2018,WR,88.28,18.1K,FL,Bartram Trail(Jacksonville,18100.0,559K,559000.0
74,Jada Williams2023,PG,98.34,1.1M,MO,La Jolla Country Day(Kansas City,1100000.0,557K,557000.0
75,KJ Jefferson2019,QB,96.36,43K,MS,North Panola(Sardis,43000.0,553K,553000.0
76,Christopher Vizzina2023,QB,99.26,28K,AL,Briarwood Christian(Birmingham,28000.0,543K,543000.0
77,Tyree Wilson2018,EDGE,87.4,6.9K,TX,West Rusk(New London,6900.0,542K,542000.0
78,Mackenzie Mgbako2023,SF,92.84,28K,NJ,Roselle Catholic(Gladstone,28000.0,541K,541000.0
79,Matas Buzelis2023,SF,98.57,27K,IL,Sunrise Christian(Chicago,27000.0,540K,540000.0
80,Joe Alt2021,OT,98.98,3K,MN,Totino-Grace(Minneapolis,3000.0,540K,540000.0
81,Justin Edwards2023,SF,95.6,26K,PA,Imhotep Institute(Philadelphia,26000.0,539K,539000.0
82,Devon Witherspoon2019,CB,95.25,4.7K,FL,Pine Forest(Pensacola,4700.0,536K,536000.0
83,Cameron Rising2018,QB,98.77,32K,CA,Newbury Park(Newbury Park,32000.0,535K,535000.0
84,Hailey Van Lith2020,PG,86.53,772K,WA,Cashmere(Wenatchee,772000.0,533K,533000.0
